Name,Coin Address,Collated Word Count,Collated Weighted Word Count,Image Count,Original Word Count,Word Count,Weighted Word Count,Cumulative Payout,Previous Cumulative Payout,Payout,Unique Page Views,Popularity Times Rating,Advertising Portion,Advertising Revenue,Views per Thousand Words,Normalized Popularity,Rating Median,Normalized Rating Median,Categorized Articles,Articles,Categorization,Normalized Categorization,Normalized Worth,Earnings Multiplier,Earnings
Jdlrexy,16DV7iL8wVyozq973rj2qA3Zw4r7mvnAKc,0,0,0,2009,2009,2009,2,0,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,1.02,2
Jessiewaterfield,1BjvzSbfC2MhAVG2xvhkjuXZxApB8CgCnn,0,0,0,9327,9327,9327,9,9,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,5,0.2,0.166,0.617,0.0,0
Jungle_dave,14itNE5APTMtXzNZteDeZNkNH2AUJQY1Zh,0,0,0,1775,1775,1775,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Kickaha4,12RuaN5UvZYkMn4BiiS4mMoffe3mgjzZMU,0,0,0,45566,45566,45566,46,23,23,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,9,0.667,0.796,0.68,0.944,22
Knotwork,121Pb2BBrU7C61vBdWCKVuFFmaEZr6xFAX,0,0,0,56534,56534,56534,57,57,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,17,93,0.183,0.148,0.615,0.0,0
Kochmann799,1H3hhmQxp2eqpScyubM65HuJZ9dMnPSzqY,0,0,0,2776,2776,2776,3,0,3,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,4,1.0,1.35,0.735,1.02,3
Koguma,1NPRz7rKMi83gJSEnztFddr96oJbqqAZmj,101,30,18,4252,4353,4462,4,4,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,6,0.0,0.0,0.6,0.0,0
Kumala,1MUpAKKjyM56gxfKkW4LTHkWRcCFRx2y12,0,0,0,2192,2192,2192,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.0,0
Lawyer,13B9eDYgwTdhfWHgQXYT8EWNpL3uV4Ffie,0,0,0,74977,74977,74977,75,77,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,45,0.0,0.0,0.6,0.0,0
Leojane,15szdWSCEVAvXVEKsrEtcKNtCfmo69drZ9,0,0,41,8632,8632,9042,9,7,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,5,0.6,0.695,0.669,0.93,2
Mabtc,1NqxTQ7D9w3oukfpYda8GHnXSYxr9xFoQS,0,0,51,88782,88782,89292,89,89,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,53,0.264,0.239,0.624,0.0,0
Maitotoxin,1EZpys8PMP8bZxs2tFTY5T7cimmVMZAxuw,0,0,0,5973,5973,5973,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3,0.0,0.0,0.6,0.0,0
Marticps,12UVr7jmrEitXQfzDPXAQ7etiVaa21p4iT,1133,339,13,1062,2195,1531,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,2,0.5,0.548,0.655,0.0,0
Matt608,1Ks4roXAZj45sXRsWMfGqmAPmDoWZ9TAko,0,0,43,199062,199062,199492,199,190,9,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,50,50,1.0,1.35,0.735,1.02,9
Max2838,1EZPbtmx7YiDfM2YVThbrbEgC6b86SqFL9,0,0,123,69312,69312,70542,50,0,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,116,0.0,0.0,0.6,0.833,42
Maximilian_Wilhelm,1BroUgeCemQvWeYBekpFyEFGZVqrXnrtQ9,0,0,3,86134,86134,86164,86,87,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,23,0.0,0.0,0.6,0.0,0
Melodiemuse,1GJt2nDUrVinYyDFJuWMkkK1Urod5nH72F,195,58,9,19925,20120,20073,20,12,8,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,29,29,1.0,1.35,0.735,1.02,8
Merockstar,161J2C45hLh6SecXoRBMbbPGJAv7VdkfEK,0,0,0,8623,8623,8623,9,0,9,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,4,4,1.0,1.35,0.735,1.02,9
Metallicsoul92,1MZbzzaLJfZb6tkwgBbGX5ayeCbQJaYDwc,823,246,0,1661,2484,1907,2,2,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,3,0.0,0.0,0.6,0.0,0
Meta-p02,1Q4wj8JfZNGgRFYrk2bfWvqcqH1Y9YVNn9,0,0,0,2895,2895,2895,3,3,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Metazilla,1CJSRunQtPQsiZRK7vznyeCfyDTb2kxGA8,0,0,4,21459,21459,21499,21,20,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,9,0.0,0.0,0.6,0.833,1
Mistercoin,1PxUC79jXvZRbewCeRLPm9gtUbzWGdC2h8,0,0,0,4565,4565,4565,5,5,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,8,8,1.0,1.35,0.735,0.0,0
Mosinnagant,1KBShyp8fLARTKAd7tVQv5B9rUPMgfBUvj,0,0,0,64642,64642,64642,65,65,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3,23,0.13,0.0955,0.61,0.0,0
Moxy_Jane,184yBE6BY5WRpUvj7pzXjdRaemUByHvgx3,0,0,0,14299,14299,14299,14,14,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,7,0.857,1.1,0.71,0.0,0
Mrc,1EZhgmDXpwppCi7g7mSJkLHJDgtXsyTv6P,0,0,0,1239,1239,1239,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,0.0,0
Mrelite,1HKvhSWL4CAZcw4cN4FwRo8HXUifKm3N2J,0,0,0,11554,11554,11554,12,10,2,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,6,1.0,1.35,0.735,1.02,2
NascentEngineer,1M77B5gC242QJogTwn62oASgz8j8d79M2U,0,0,16,28321,28321,28481,28,21,7,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,18,19,0.947,1.26,0.726,1.01,7
Nik1ab,1CbZoBeFBEsvVMb3r6sijaAG8djBFhxWwp,0,0,0,2118,2118,2118,2,1,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,2,0.0,0.0,0.6,0.833,1
Ninthaxis,1Hcx2ZWSA1nrp3HgAq8CFu4vyUzo1WAQCc,0,0,0,78955,78955,78955,71,21,50,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,117,117,1.0,1.35,0.735,1.02,51
Novacadian,1MJ21NMydr9dNu65tga6oBDa6coiq3bRXz,0,0,8,4543,4543,4623,5,0,5,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1,1,1.0,1.35,0.735,1.02,5
Odolvlobo,1CfNKbC9LLwrtZUC7qTwqSuJHk9qyEL5KH,0,0,0,5889,5889,5889,6,6,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,14,14,1.0,1.35,0.735,0.0,0
Ondratra,12QHFnbkJEwv8jmmwcXQqLyfTATqpH1eaq,0,0,0,1293,1293,1293,1,1,0,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0,1,0.0,0.0,0.6,0.0,0
Operaficionado,19FLaursDZbNyB7Fvj4wjKXYcX8GrZkkGr,0,0,0,34296,34296,34296,34,33,1,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6,21,0.286,0.265,0.626,0.87,1
Overture,1HAXbT4oDvnqH4no64bhttnEdmaHzpxbaH,0,0,8,14272,14272,14352,14,10,4,0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,12,12,1.0,1.35,0.735,1.02,4
